Website,Unternehmen,Land,Handelsregister
gosnap.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
grace-bags.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
graf-zuerich.ch,Janis Kappeler,Schweiz 🇨🇭,Privatperson
green-aroma.ch,Green Aroma,Schweiz 🇨🇭,
gschenkt.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
gsm55.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
gut-daheim.ch,Schlehenweg 375395 Ostelsheim,Deutschland 🇩🇪,
guxdu.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
gym4.ch,Huoscar Ryf,Schweiz 🇨🇭,Privatperson
gymfinity.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
haarlemavenue.nl,E-COM BUY-UP COMPANY LIMITED,Grossbritannien 🇬🇧,13705169
hallobh.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
haltungshelfer.de,Shenzhen Xinghui Tongda Supply Chain Management Co. LTD,China 🇨🇳,
haluxy.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
handykino.ch,Hypestore KLG,Schweiz 🇨🇭,CHE-331.915.813
handymama.ch,Swiss E Group GmbH,Schweiz 🇨🇭,CHE-196.221.324
hansen-mode.com,DW E-Commerce,Niederlande 🇳🇱,88174735
hansen-mode.com,DW-E-CommerceKleine Hoorn 189363 EW Marum,Niederlande 🇳🇱,88174735
happybabys.ch,Nicolas Schneider,Schweiz 🇨🇭,Einzelunternehmen
happyflops.ch,SOE Business AB,Schweden 🇸🇪,559419-6304
happyflops.de,SOE Business AB,Schweden 🇸🇪,559419-6304
harielle.ch,DCS Swiss GmbH,Schweiz 🇨🇭,CHE-462.838.155
harper-brown.co.uk,Goodiesforyou Limited,China 🇨🇳,
harper-brownuk.com,Goodiesforyou Limited,China 🇨🇳,
hartmannmode.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hase-eule.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
haushero.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hausmode-clo.de,Rijker Products,Niederlande 🇳🇱,89004779
heikkinenhelsinki.com,Smart Marketing Center,Niederlande 🇳🇱,75578212
heimeiche.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
heinrichmode.de,E-COM BUY-UP COMPANY LIMITED,Grossbritannien 🇬🇧,13705169
hejbuddy.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hello-mausi.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hello-noveo.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hellobeaume.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hellonoveo.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
helvetashop.ch,Expertfid & Audit AGOdyssey Scaling GmbHSinserstrasse 656330 Cham,Schweiz 🇨🇭,CHE-461.344.689
helvetia-mode.com,Fastlane e-com,Niederlande 🇳🇱,71707492
helvetia-mode.com,Mama Holistica,Niederlande 🇳🇱,
helvetisch-stil.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
helvezen.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
helvika.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
helvika.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
herbergerversand.ch,Smurnoy AP,Schweiz 🇨🇭,CHE-420.135.958
herrlampe.com,Witteveen Commerce LLP,Grossbritannien 🇬🇧,OC446864
herrlampe.com,"Witteveen Commerce LLP32 Kinburn St, London, London, SE16 6DW, United Kingdom",Grossbritannien 🇬🇧,OC446864
herrmann-modehaus.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
herrmannmode.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
herveybay-boutique.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
herz-moment.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
herzhaftes.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
heute-einkaufen.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hinos.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hobibear.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hobstore.ch,Nsomoto Obam Herman,Schweiz 🇨🇭,Privatperson
hofer-zuerich.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hoffmanandhearth.com,Rijker Products,Niederlande 🇳🇱,89004779
home-kit.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
home-some.ch,Albrim Tafolli,Schweiz 🇨🇭,Privatperson
home-xpert.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
homeaura.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
homebuddy.ch,Thalmann Ecommerce,Schweiz 🇨🇭,CHE-221.023.901
homeleben.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
homelia.ch,Stadelmann Commerce,Schweiz 🇨🇭,CHE-335.359.319
homeloft.ch,Anibarro Services,Schweiz 🇨🇭,CH-550.1.196.733-2
homelux.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
homemint.ch,Hertli E-Commerce,Schweiz 🇨🇭,CHE-220.757.834
homevibes.ch,Pietro Masullo & Velin Huber,Schweiz 🇨🇭,Privatpersonen
homizon.ch,Patrick Brodmann,Schweiz 🇨🇭,Privatperson
honeyboss.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hooded.ch,MELILEO Concept,Schweiz 🇨🇭,CHE-136.986.802
hoodi.ch,hoodi gmbh,Schweiz 🇨🇭,CHE-373.770.377
housesafe.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
huber-boutique.ch,E. van Drielststraat 577815 LV Emmen,Niederlande 🇳🇱,NL005294075B89
huberluzern.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hydrax.ch,Oxidian GmbH,Schweiz 🇨🇭,CHE-381.031.684
hydroalp.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
hydroalp.de,Hydroalp,Schweiz 🇨🇭,
hydrux.ch,E-Drop GmbH,Schweiz 🇨🇭,CH-320.4.098.695-1
hygeem.com,Getoar Tasholli,Schweiz 🇨🇭,Privatperson
hypestore.ch,Hypestore KLG,Schweiz 🇨🇭,CHE-331.915.813
icarus-berlin.de,Fernantu Limited,China 🇨🇳,
icarus-zurich.ch,Fernantu Limited,China 🇨🇳,
ice-switzerland.com,ICE Switzerland Schöchlin,Schweiz 🇨🇭,CHE-382.064.166
iconicstreetwear.com,E-COM BUY-UP COMPANY LIMITED,Grossbritannien 🇬🇧,13705169
iconlauren.com,CKAY Ecom AB,Schweden 🇸🇪,559463-8784
idylly.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
ilumix.ch,EVOC SWISS GmbH,Schweiz 🇨🇭,CHE-221.913.054
impassion.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
impassion.ch,Heba BuaMooshaldeweg 145413 Birmenstorf,Schweiz 🇨🇭,
inboxs.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
influenify.ch,PAMTU GROUP GmbH,Schweiz 🇨🇭,CHE-477.412.629
ingrid-taschen.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
interiorhomeliving.ch,Tomasi E-Commerce,Schweiz 🇨🇭,CHE-308.344.858
interioswiss.ch,Erkmen Online Business,Schweiz 🇨🇭,CHE-244.183.651
intika.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
io-ny.eu,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
irishandfit.com,Shoppingroom Etemi,Schweiz 🇨🇭,CHE-143.958.768
isabella-brown.co.uk,Goodiesforyou Limited,China 🇨🇳,
isabella-brownuk.com,Goodiesforyou Limited,China 🇨🇳,
ixoria.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
jamil-lifestyle.ch,jamil - lifestyle & fashion by sonja siam,Schweiz 🇨🇭,CHE-203.993.807
jampri.ch,E-Commerce Ahadzie,Schweiz 🇨🇭,CHE-145.673.549
janssonmode.se,Smart Marketing Center,Niederlande 🇳🇱,75578212
jensenmode.nl,E-COM BUY-UP COMPANY LIMITED,Grossbritannien 🇬🇧,13705169
jeweltique.ch,Bekjiroski E-Commerce,Schweiz 🇨🇭,CHE-293.375.055
jintelli.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
jolana.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
jolievital.ch,Everytique,Belgien 🇧🇪,1001.850.147
jovida.ch,WNR E-commerce B.V.,Niederlande 🇳🇱,91541913
joymo.ch,Dilji Commerce,Schweiz 🇨🇭,CHE-294.347.179
julianlugano.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
juniorzauber.ch,Everytique,Belgien 🇧🇪,1001.850.147
just-bern.com,American General Trade SRL,Rumänien 🇷🇴,49092589
just4dogs.ch,just4dogs.ch GmbH,Schweiz 🇨🇭,CH-020.4.046.872-6
juwelierkeller.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kadabar.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kaleaa.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
karmasocks.ch,Karma Handels GmbH,Schweiz 🇨🇭,CHE-446.387.102
kartasdeals.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kaufschlau.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kayloa.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
keller-bern.com,Van Uffelen Mode,Niederlande 🇳🇱,27224747
keller-boutique.ch,Kazer Online B.V.,Niederlande 🇳🇱,92979459
keller-boutique.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
keller-luzern.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
keller-zurich.ch,Next E-Commerce,Niederlande 🇳🇱,72054840
kelmo.ch,Steinmann & Pham Solutions KLG,Schweiz 🇨🇭,CHE-258.366.608
kevinsheffield.com,E-COM BUY-UP COMPANY LIMITED,Grossbritannien 🇬🇧,13705169
khich.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kiddoskiste.de,Natia Inasaridze,Schweiz 🇨🇭,Privatperson
Kidzly,WEBOCADO LLC,Polen 🇵🇱,
kidzly.ch,"WEBOCADO LLC, Wolbromska 181BBreslau 53-148",Polen 🇵🇱,
kiira.ch,Masood Commerce,Schweiz 🇨🇭,CHE-444.864.841
kingstons.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kistenstein.ch,EDNSY Online Shop Doganay,Schweiz 🇨🇭,CHE-187.672.544
klarenmode.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
klein-mode.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kleinselect.com,KleinSelect,Schweiz 🇨🇭,
koaala.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kobenhavn-modehus.com,Goodiesforyou Limited,China 🇨🇳,
kobenhavn-modehus.dk,Goodiesforyou Limited,China 🇨🇳,
koerperhilfe.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kolibrin.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kovali.de,Yang Hengsheng Logistics LTD.World Trust TowerStanley Street 50Central Hong Kong,Hong Kong 🇭🇰,
kovali.de,Yang Hengsheng Logistics LTD.World Trust TowerStanley Street 50Central Hong Kong,Hong Kong 🇭🇰,76932475
kruger-mode.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kuiwo.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
kumono.ch,Onlinehandel Nietlispach,Schweiz 🇨🇭,CHE-481.899.476
kynubeauty.de,KynuBeauty,Niederlande 🇳🇱,
kynubeauty.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
ladyshaver.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lahrner-luzern.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lamiso.ch,Quantum Dynamics GmbH,Schweiz 🇨🇭,CHE-319.129.666
lancas.ch,E-Commerce Parisato,Schweiz 🇨🇭,
larana-berlin.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
laude.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lavanella-shop.com,RS Trading Rizzello,Schweiz 🇨🇭,CHE-227.539.876
lavendolondon.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lboutique.ch,SOFIADRESS MARZETTA,Schweiz 🇨🇭,CHE-134.949.233
leabasel.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lebensglanz.ch,DIGITAL DYNAMO MARKETING AGENCY LIMITED,China 🇨🇳,
lebenslust-shop.at,Astrid Senger,Österreich 🇦🇹,Privatperson
lederhermann.com,"Mode Galerie LimitedUNIT 1005, 10/F, BOSS COMMERCIAL CENTRE28 FERRY STREETYAU MA TEI",Hong Kong 🇭🇰,75791642
lederhermann.com,"Mode Galerie LimitedUNIT 1005, 10/F, BOSS COMMERCIAL CENTRE28 FERRY STREETYAU MA TEI",Hong Kong 🇭🇰,75791642
lefrani.com,Lefrani,Schweiz 🇨🇭,CHE-240-962-805
legendig.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
leggylux.ch,Heike Vierheilig,Schweiz 🇨🇭,Privatperson
leggylux.com,Heike Vierheilig,Schweiz 🇨🇭,Privatperson
lemodas.com,Goodiesforyou Limited,China 🇨🇳,
lena-boutique.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lenaberger.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lenasole.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lennara.ch,Florian Mächler,Schweiz 🇨🇭,Privatperson
lenomi-berlin.de,Postizzi Fashion,Schweiz 🇨🇭,CHE-480.466.554
lenorezurich.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
leoberlin.de,SAMIDEX LIMITED,Hong Kong 🇭🇰,
leonie-mode.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
leorazurich.ch,Pinocchio Commerce Limited,Hong Kong 🇭🇰,77645617
leoza-boutique.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
levarozurich.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
levicishop.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
levuna.ch,life basics,Niederlande 🇳🇱,77171667
lifenox.com,Hohl Trading ?,Schweiz 🇨🇭,CHE-136.291.663
lifestyleproducts.ch,Simon JudGweerhofstrasse 98853 Lachen,Schweiz 🇨🇭,
lilulo.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lily-coco.ch,Isabelle Droz,Schweiz 🇨🇭,Privatperson
limmatshop.ch,Limmat Shop,USA 🇺🇸,2025-001612043
lindbergmode.de,Starc Ecom B.V.,Niederlande 🇳🇱,91371716
lindenhofboutique.com,Acessories & Designs Limited,Hong Kong 🇭🇰,3221084
linnea-lucerne.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
linovero.de,Ches Commerce B.V.,Niederlande 🇳🇱,NL865565855B01
littleasy.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
littleginger.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
littlespark.ch,JDW Online,Niederlande 🇳🇱,89256360
littlewonders.ch,LittleWonders,Schweiz 🇨🇭,CHE-382.769.350
littlewonders.ch,LittleWondersLaufenburgerstrasse 24058 Basel,Schweiz 🇨🇭,CHE-382.769.350
liva-kobenhavn.dk,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
liva-trends.de,Woofer Media B.V.,Niederlande 🇳🇱,90136470
liva-zurich.ch,Woofer Media B.V.,Niederlande 🇳🇱,90136470
livano.ch,Tenex Limited,China 🇨🇳,76733671
livarose.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
livee.ch,Bieri E-Commerce,Schweiz 🇨🇭,CHE-360.002.234
livemore.ch,Livemore - E-commerce Grütter,Schweiz 🇨🇭,CHE-199.104.732
livestor.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
liviarose.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
livingood.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lobitos.ch,Lobitos.ch,Schweiz 🇨🇭,
lolas.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
loleni.ch,Arlen Nrecaj,Schweiz 🇨🇭,Privatperson
lomix.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lookinn.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
looro.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lopix.ch,Lorraine Di Donna,Schweiz 🇨🇭,Privatperson
lorafashion.de,Hiyera LTD,Grossbritannien 🇬🇧,
loramuenchen.de,"Pinocchio Commerce LimitedUnit 1005, 10F Boss Commercial Centre28 Ferry Street, Yau Ma Tei,Hong Kong",Hong Kong 🇭🇰,77645617
lorvez-paris.com,Rijker Products,Niederlande 🇳🇱,89004779
loulou-zurich.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lovania-mode.ch,Benzatra,Niederlande 🇳🇱,
lovania-mode.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
loveofhome.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lovina.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lozenda.de,Sarbini Commerce,Niederlande 🇳🇱,90927044
lozendo.com,Sarbini Commerce,Niederlande 🇳🇱,90927044
luce-bella.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luckybag.ch,Gerber Marra E-Commerce & Performance,Schweiz 🇨🇭,CHE-184.893.391
luernafemme.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luinea.ch,Dauti Commerce,Schweiz 🇨🇭,CHE-204.150.295
luking.ch,Abetare Tairi,Schweiz 🇨🇭,Privatperson
lulafashion.com,E-COM BUY-UP COMPANY LIMITED,Grossbritannien 🇬🇧,13705169
lumanocare.com,DIGITAL DYNAMO MARKETING AGENCY LIMITED,China 🇨🇳,
lumara.ch,David Schütz,Schweiz 🇨🇭,Privatperson
lumbocare.at,Swiss E Group GmbH,Schweiz 🇨🇭,CHE-196.221.324
lumbocare.ch,Swiss E Group GmbH,Schweiz 🇨🇭,CHE-196.221.324
lumenrosa.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lumerix.ch,D. Manigley,Schweiz 🇨🇭,Privatperson
lumina-montreal.com,Ajdini E-commerce,Schweiz 🇨🇭,
luminabeauty.ch,BGF Investment GmbH in Liquidation,Schweiz 🇨🇭,CHE-369.533.118
luminas.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lumondo.ch,Idrizi E-Commerce,Schweiz 🇨🇭,CHE-321.514.631
luna-bern.com,WOLANTIS LTD,Grossbritannien 🇬🇧,16770852
lunamoda.ch,Emin-commerce,Niederlande 🇳🇱,85230529
lunarmode.de,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lunasandals-schweiz.com,,,
lunero.ch,Buchs Digital,,CHE-238.717.739
lunoire.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
lurosa.ch,Lurosa,Schweiz 🇨🇭,CHE-324.848.318
luster.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luvley.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luvley.ch,J&B Drop GmbH,Schweiz 🇨🇭,CHE-329.736.106
luvoo.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luvora.ch,Ecom Raho Romero,Schweiz 🇨🇭,Privatperson
luvora.ch,Ecom Raho RomeroHausmattweg 573019 Bern,Schweiz 🇨🇭,
luvu.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luvy.ch,E-Drop GmbH,Schweiz 🇨🇭,CH-320.4.098.695-1
luxe-geneva.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luxinora.com,Luxi Horizon SNC,Schweiz 🇨🇭,CHE-339.578.990
luxora.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luxtoy.ch,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
luxurise-fashion.com,"Keine gültige Adresse, möglicher Verstoss gegen Art. 3 Abs. 1 lit. s UWG",Unbekannt 🏴‍☠️,
